er0,er01,er02,er1,er10,er12,er2,er20,er21,k01,k02,k21,k20,fam
0,0,0,0.00025312610742672,0.00025312610742672,0,0,0,0,0.00371577098868853,0.000648799252660001,0.0150176855264625,0.00403178533745471,164_1_Tuxpeno_El_Aguacatito_Mex_:250426647
0,0,0,0.00161176589100433,0.00120882441825325,0.000402941472751083,0,0,0,0.00242337264539019,0.000514889607862801,0.00915908940067698,0.0029297708331358,170_2_Tuxpeno_El_Aguacatito_Mex_:250358088
0,0,0,0,0,0,0,0,0,0.00371540593718135,0.00064161484438955,0.0151893143132909,0.00363987338148327,166_9_Tuxpeno_El_Aguacatito_Mex_:250358067
0,0,0,0,0,0,0,0,0,0.00344064158241883,0.000655326565167799,0.0142523636743534,0.00405832740656806,166_12_Tuxpeno_El_Aguacatito_Mex_:250358070
0,0,0,0,0,0,0,0,0,0.00239806504810525,0.000476948970327329,0.00897205416627242,0.00260478991924038,169_6_Tuxpeno_El_Aguacatito_Mex_:250358083
0.00186799501867995,0.00186799501867995,0,0,0,0,0.0553050796513375,0,0.0553050796513375,0.00306347330269486,0.000748462227362948,0.0117479506717334,0.00263836657543956,164_14_Tuxpeno_El_Aguacatito_Mex_:250426648
0,0,0,0.000102759081333813,0.000102759081333813,0,0,0,0,0.00353748552794162,0.000680615459912514,0.0152908811222588,0.00426832149438503,171_5_Tuxpeno_El_Aguacatito_Mex_:250358097
0,0,0,0,0,0,0,0,0,0.00196708102321943,0.000410374607368473,0.00676918838611923,0.00183496167734191,171_13_Tuxpeno_El_Aguacatito_Mex_:250358104
0,0,0,0.000102806620746376,0.000102806620746376,0,0,0,0,0.00243778981122234,0.000513164825377018,0.00928453303377308,0.0027520847041634,164_8_Tuxpeno_El_Aguacatito_Mex_:250358054
0,0,0,0.000607318184118629,0.000506098486765525,0.000101219697353105,0,0,0,0.00384530044498027,0.000791930075395227,0.0149135219325481,0.00467256420958334,170_1_Tuxpeno_El_Aguacatito_Mex_:250358087
0,0,0,0,0,0,0,0,0,0.0193076988576006,0.00509404809832951,0.0756453346693192,0.0228755149787685,165_4_Tuxpeno_El_Aguacatito_Mex_:250358059
0,0,0,0.000101153145862836,0.000101153145862836,0,0,0,0,0.00208592271147538,0.000412880897758182,0.0076123086158835,0.00257352127091601,171_10_Tuxpeno_El_Aguacatito_Mex_:250358102
0.000661150401698956,0.000661150401698956,0,0,0,0,0.033151904997526,0,0.033151904997526,0.00196639924633824,0.000488662496034624,0.00695203217866363,0.00162094014528426,170_7_Tuxpeno_El_Aguacatito_Mex_:250426650
0,0,0,0,0,0,0,0,0,0.00421026141369314,0.00068256965755675,0.0160435007767996,0.00377006732263076,169_11_Tuxpeno_El_Aguacatito_Mex_:250358085
0.00254356098537953,0.00254356098537953,0,0,0,0,0.0368309485956545,0,0.0368309485956545,0.0022192554178779,0.000594725364949097,0.00798389573168651,0.00216315807431165,170_11_Tuxpeno_El_Aguacatito_Mex_:250358092
0.0025710445842504,0.0025710445842504,0,0,0,0,0.0261498949334579,0,0.0261498949334579,0.00178954258570888,0.000490622916954415,0.00629106111885328,0.00174530493065233,171_11_Tuxpeno_El_Aguacatito_Mex_:250358103
0,0,0,0.000104948312955869,0.000104948312955869,0,0,0,0,0.010093012455832,0.00224034921989511,0.040582197132199,0.0122167073416729,170_12_Tuxpeno_El_Aguacatito_Mex_:250358093
0,0,0,0,0,0,0,0,0,0.00738970511197506,0.00174891561609922,0.0306712003886047,0.0102408777895248,166_10_Tuxpeno_El_Aguacatito_Mex_:250358068
