kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21
A2448:250412500,7917,0.371226474674751,0.306555513452065,77245,0.000168295682568451,0.0314195093533562,1025,0.000975609756097561,0
A0544:250416050,7460,0.376943699731904,0.300402144772118,65437,0.000137536867521433,0.0342466800128368,975,0.00102564102564103,0.00102564102564103
A2345:250412446,9097,0.362207321094866,0.276904474002418,80232,0.000299132515704457,0.031396450294147,1222,0,0.0016366612111293
A1011:250416400,6391,0.40697856360507,0.312470661868252,64844,0.000200481154771451,0.030796989698353,841,0,0.00118906064209275
A5862_1:250442003,10478,0.370967741935484,0.287745753006299,89403,0.000413856358287753,0.0337237005469615,1441,0,0.000693962526023595
B3579_1:250442054,10539,0.364930259037859,0.287218901224025,89151,0.000695449293894628,0.033953629235791,1416,0.000706214689265537,0.00282485875706215
A3407:250413208,9628,0.375259659326963,0.278770253427503,83316,0.000396082385136108,0.0322147006577368,1327,0.00150715900527506,0.000753579502637528
A0064:250415738,10131,0.367485934261179,0.287237192774652,85290,0.000316567006683081,0.0341188884980654,1363,0,0.00146735143066764
A5862:250441779,8647,0.39158089510813,0.300335376431132,75034,0.00170589332835781,0.0346109763573847,1197,0,0.00835421888053467
A4056:250417377,8350,0.376167664670659,0.30562874251497,71799,0.000403905346871126,0.0355436705246591,1149,0.000870322019147084,0.00174064403829417
E0245:250283157,10658,0.368643272659035,0.293863764308501,90122,0.000488227069971816,0.0347528905261756,1469,0,0.00204220558202859
A5846_1:250442001,10870,0.352805887764489,0.291720331186753,91916,0.000348143957526437,0.0344988902911354,1450,0,0.000689655172413793
A0597:250416110,9670,0.363288521199586,0.279214064115822,79817,0.000187929889622511,0.0338273801320521,1431,0,0.000698812019566737
A5846:250441775,11123,0.358356558482424,0.271419581048278,93905,0.000330120866833502,0.0321495128054949,1544,0.00129533678756477,0.000647668393782383
A5000:250423032,9605,0.373347214992192,0.297241020301926,82324,0.000558767795539575,0.0346800447014236,1288,0.00077639751552795,0.0015527950310559
E2183:250272435,13024,0.319947788697789,0.23840601965602,110308,0.000679914421438155,0.0281484570475396,1791,0,0.00390843104410944
E2823:250284467,12232,0.33526814911707,0.257357750163506,103126,0.000892112561332739,0.0305257645986463,1683,0.0005941770647653,0.0023767082590612
A1980:250416997,6762,0.405501330967169,0.309671694764862,56411,0.000230451507684671,0.0371204197762848,935,0,0.00106951871657754
E2722_1:250442041,10206,0.352537722908093,0.291397217323143,85188,0.00038737850401465,0.0349110203315021,1348,0,0
E2946:250272786,11313,0.345973658622823,0.281622911694511,94216,0.000647448416404857,0.0338159123715717,1550,0.000645161290322581,0.00193548387096774
A2944:250412843,8522,0.356019713682234,0.28162403191739,72627,0.000261610695746761,0.0330455615680119,1150,0,0.000869565217391304
A3260:250413083,9613,0.355144075730781,0.283886403828149,80915,0.000976333189149107,0.0337267502935179,1264,0.00316455696202532,0.00395569620253165
A0698:250416161,9698,0.357187048876057,0.270674365848629,80528,0.000509139678124379,0.0325973574408901,1308,0.00229357798165138,0.00458715596330275
A0182:250415795,9160,0.368231441048035,0.288427947598253,76213,0.000367391389920355,0.0346660018631992,1200,0.000833333333333333,0.000833333333333333
B3620:250314809,13962,0.263715800028649,0.177768228047558,115318,0.0005029570405314,0.0215230926654989,1924,0.00051975051975052,0.00103950103950104
A4544:250417638,8648,0.374306197964847,0.300416281221092,72328,0.000649817498064373,0.0359196991483243,1154,0.00173310225303293,0.00173310225303293
A5793:250441745,9304,0.382523645743766,0.300838349097163,79055,0.000290936689646449,0.0354057301878439,1225,0,0.000816326530612245
A3389:250413195,8323,0.378229003964916,0.315030637991109,71266,0.000519181657452362,0.0367917379956782,1077,0.000928505106778087,0.000928505106778087
A5376:250420833,8167,0.373576588710665,0.306232398677605,69080,0.000463231036479444,0.0362044006948466,1032,0.000968992248062015,0.00290697674418605
A5541:250420939,8490,0.372555948174323,0.296466431095406,71702,0.000320772084460685,0.0351036233298932,1114,0.000897666068222621,0
A5605:250420957,8282,0.379859937213234,0.293890364646221,69353,0.000418150620737387,0.0350958141680965,1104,0,0
E0941:250277997,10448,0.364471669218989,0.294410413476263,87839,0.00034153394278168,0.0350186135998816,1402,0.0014265335235378,0.000713266761768902
