founder,nselfer,nox,tot,miss,gbs0,gbs1,gbs2,call0,call1,call2,err0,err1,err2,err
PC_I06_ID1_1:250276199,37,283,320,144756,137958,14688,23944,245536,54099,21711,0.00043907151011328,0.0689969051520117,0.117013372956909,0.0121791541099449
PC_N07_ID1_1:250276240,48,204,252,103348,167884,23418,26696,240547,58014,22785,0.000314729332773815,0.0123741610738255,0.088022208680344,0.00774035255115205
PC_J04_ID1_1:250276210,39,179,218,122296,155104,17590,26356,240052,57263,24031,0.000112134651289268,0.00813864419762543,0.0679943899018233,0.00637383485137398
PC_L12_ID1_1:250276229,74,126,200,132731,147140,16535,24940,235364,60832,25150,0.000146822805125635,0.00103368885965324,0.0254286043033023,0.00200027188161498
PC_N04_ID1_1:250276239,42,158,200,121124,155631,18476,26115,238626,59346,23374,0.000147185486420776,0.00282588218245055,0.0599078341013825,0.00498709991026025
PC_L08_ID1_1:250276227,38,154,192,93059,175172,25865,27250,238393,59434,23519,7.22559416616643e-05,0.00486466259199202,0.0640260124150163,0.00554069358744044
PC_N58_ID2_mrg:250276280,46,141,187,52236,202806,38690,27614,237572,60042,23732,8.37880581070183e-05,0.000200581686891987,0.056732055283103,0.00453584100959606
PC_K55_ID2_mrg:250276291,47,135,182,74374,186523,31581,28868,234316,61782,25248,0.00025965876510619,0.000298611456726223,0.0691399662731872,0.00593281811099071
PC_L56_ID1_1:250276233,70,112,182,133461,146910,16003,24972,235544,59750,26052,8.71124775813477e-05,0.00052445260259604,0.0151295670368582,0.00126625490227211
PC_I55_ID2_mrg:250276267,81,94,175,47681,204944,41343,27378,233100,61520,26726,0.000158844025415044,0.000750306943749716,0.0134272244435161,0.0011293518145831
PC_I11_ID2_mrg:250276264,43,126,169,72403,189404,31183,28356,235168,60088,26090,0.000443559671977062,0.000200507953482155,0.061163247490179,0.00542514157912937
PC_J50_ID1_1:250276220,42,124,166,137940,143506,14944,24956,236938,60077,24331,3.26016083460117e-05,0.000293570799491144,0.0384230427046263,0.00329810641575929
PC_M05_ID1_1:250276234,37,129,166,130661,147833,16912,25940,235796,61770,23780,5.64684623637698e-05,0.000414364640883978,0.0518937385875007,0.00444097820741455
PC_L14_ID1_1:250276230,93,69,162,103885,166797,22577,28087,229881,63171,28294,3.52392746750435e-05,0.000407401848317859,0.00463222193942479,0.000441636091860307
PC_N57_ID2_mrg:250276279,45,116,161,63478,195072,34251,28545,234835,60476,26035,0.000148141093810348,9.41442289587648e-05,0.0419565450069571,0.00355553225968489
PC_K60_ID1_1:250276225,35,124,159,131236,148361,16071,25678,236567,60063,24716,1.13042249540766e-05,0,0.0417218161938194,0.00364892063221189
PC_O08_ID2_mrg:250276281,62,97,159,58515,196991,36784,29056,233292,61303,26751,5.15610095645673e-06,6.06796116504854e-05,0.0194331983805668,0.00156892951979405
PC_I50_ID2_mrg:250276265,55,101,156,53133,201953,38113,28147,233537,61282,26527,0.000266795275671349,9.71754340502721e-05,0.0379994563740147,0.00308797450987619
PC_K02_ID1_1:250276222,40,115,155,102078,168664,23209,27395,235415,61656,24275,3.29279536374413e-05,0,0.0334115947263861,0.00270297616466473
PC_J13_ID1_1:250276216,41,108,149,124839,152781,17635,26091,235840,61071,24435,3.23014804845222e-05,8.03987779385753e-05,0.0303853617965068,0.0025667944668236
PC_I52_ID1_1:250276205,43,105,148,146355,136719,13644,24628,234200,61327,25819,3.32793468373527e-05,0,0.030382705229331,0.00246242000646034
PC_J48_ID2_mrg:250276262,46,101,147,61062,195150,36417,28717,232331,61333,27682,0.00034247838434505,4.64748803271832e-05,0.0468040699191234,0.00417832736739343
PC_N14_ID2_mrg:250276278,58,85,143,52864,202535,36285,29662,232804,57529,31013,0.000235064277020639,0,0.0171364834719124,0.00160868268629008
PC_M15_ID1_1:250276235,42,95,137,73424,188100,30775,29047,234472,60553,26321,3.93787163663571e-05,0,0.029000577700751,0.00242525312686123
PC_O59_ID2_mrg:250276284,60,77,137,77082,186705,29179,28380,232632,60480,28234,0.000102061645233721,3.16816626536561e-05,0.013805234262566,0.0011368942485332
PC_M59_ID1_1:250276237,36,99,135,112727,161178,20377,27064,234924,60242,26180,8.97643045831089e-05,0,0.0375854214123007,0.00310843981555826
PC_N07_ID2_mrg:250276276,38,95,133,59113,198138,35003,29092,233743,59192,28411,0.000333490815107134,0,0.0463423090257714,0.0042086555737833
PC_J07_ID2_mrg:250276269,40,92,132,55258,198709,38423,28956,231486,62710,27150,0.000179552353538584,0,0.0357398568019093,0.003064014101263
PC_L48_ID2_mrg:250276273,48,78,126,67188,193807,29640,30711,236327,55039,29980,0,0,0.0107668323102407,0.00100020366137901
PC_J14_ID2_mrg:250276270,60,63,123,64959,193403,34486,28498,229763,62354,29229,6.57611857247642e-05,2.7038719446247e-05,0.00780576815854833,0.000660382550177281
PC_J51_ID1_1:250276221,34,85,119,139790,142304,14793,24459,235108,61001,25237,2.5206694898165e-05,0,0.0224671470962272,0.00183246073298429
PC_L12_ID2_mrg:250276272,61,57,118,60855,194135,39676,26680,230453,62906,27987,1.00252636644344e-05,2.81033077593233e-05,0.00570933374114289,0.000451518673241826
PC_O51_ID2_mrg:250276282,97,13,110,49831,203120,39694,28701,219535,68843,32968,0,0.000291211648465939,0,5.33664713707941e-05
PC_I08_ID1_1:250276200,39,70,109,166940,121726,10455,22225,233008,61255,27083,2.40704300784094e-05,0,0.0117918642375842,0.0010046902899026
PC_N10_ID2_mrg:250276277,45,47,92,43137,202813,48281,27115,227505,63788,30053,6.08457560085184e-05,0,0.00608052588331964,0.000562829278194517
