kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21
13FL991569:250306167,6125,0.407673469387755,0.320163265306122,74362,0.000900997821467954,0.0263709959387859,782,0,0
13FL991928:250307709,5586,0.404761904761905,0.326709631220909,68157,0.000762944378420412,0.026776413281101,671,0.0014903129657228,0.0029806259314456
13FL992780:250308854,6976,0.367975917431193,0.309776376146789,82717,0.00120894133007725,0.0261252221429694,937,0,0.00533617929562433
14FL990162:250409262,6425,0.378054474708171,0.295408560311284,77344,0.000711108812577576,0.0245397186594952,824,0.00364077669902913,0.00121359223300971
14FL991381:250410664,5412,0.393939393939394,0.320768662232077,68214,0.000278535198053186,0.0254493212537016,725,0.00137931034482759,0
14FL991844:250411142,6446,0.387216878684455,0.298789947254111,78380,0.000408267415156928,0.0245725950497576,826,0,0.00242130750605327
14FL992553:250411832,6431,0.369771419685896,0.302441299953351,77452,0.000503537674947064,0.0251123276351805,837,0,0.004778972520908
13FL990342:250294590,6798,0.375551632833186,0.31759340982642,81751,0.00100304583430172,0.026409462881188,921,0.00217155266015201,0.00434310532030402
14FL991898:250411187,8030,0.346575342465753,0.26214196762142,93641,0.000448521480975214,0.0224794694631625,1061,0,0
14FL990237:250409366,6051,0.379937200462733,0.311022971409684,71765,0.000822127778164844,0.0262244826865464,779,0.00513478818998716,0.00385109114249037
14FL991073:250410298,6888,0.36890243902439,0.28281068524971,81501,0.000343554066821266,0.0239015472202795,877,0,0
13FL990743:250295036,7938,0.35878054925674,0.28092718568909,93192,0.000815520645548974,0.0239290926259765,1074,0,0
13FL992395:250308272,6437,0.384806586919372,0.309460929004194,77902,0.00065466868629817,0.025570588688352,913,0.00219058050383352,0.00109529025191676
13FL992723:250308798,6910,0.386975397973951,0.315050651230101,81239,0.000590849222663991,0.0267974741195731,884,0.00113122171945701,0
13FL990968:250307208,6125,0.400489795918367,0.326204081632653,70828,0.000847122606878636,0.0282091828090586,810,0,0
14FL990955:250410165,5951,0.399932784405982,0.302806251050244,72917,0.000356569798538064,0.024713029883292,727,0.00137551581843191,0
14FL990973:250410181,5593,0.40783121759342,0.325227963525836,68174,0.000425382110482002,0.0266817261712676,688,0.00145348837209302,0
13FL991638:250306264,8103,0.348389485375787,0.273849191657411,94364,0.000932559026747488,0.0235153236403713,1057,0.000946073793755913,0
14FL990714:250409899,3676,0.424918389553863,0.305767138193689,46842,0.00010674181290295,0.0239955595405832,418,0,0
14FL991172:250410419,6240,0.393429487179487,0.303044871794872,74765,0.000588510666755835,0.0252925834280746,800,0,0.00125
13FL991193:250305855,6573,0.378974593032101,0.319032405294386,78628,0.000432415933255329,0.0266698885893066,851,0.00235017626321974,0
14FL992683:250411972,5755,0.3876629018245,0.314682884448306,70265,0.000668896321070234,0.0257738561161318,750,0,0.00133333333333333
