proid	parent1	parent2	progeny	parent_1	parent_2	qq_uu	nloci
13FL991195:250305857	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	1004	1	1	4062.90809126595	24864
14FL991792:250411065	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	4014	1	1	4013.36412113543	24799
14FL992565:250411841	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	4587	1	1	3859.62390285351	24625
14FL991871:250411166	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	4082	1	1	3968.14034661787	24755
14FL990555:250409701	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	3021	1	1	3986.50825810589	24618
14FL992680:250411969	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	4682	1	1	3971.05761278149	24849
14FL991560:250410885	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	3869	1	1	4085.85218612429	25037
13FL991128:250307416	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	944	1	1	3753.56255771951	23761
13FL992429:MERGE	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	2055	1	1	3939.8290515573	24930
13FL991041:250307306	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	866	1	1	3795.75608169198	24092
13FL990311:250323711	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	265	1	1	3945.74603142191	24716
13FL991908:250307690	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	1614	1	1	3858.42089530112	24852
14FL990033:250407986	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	2585	1	1	4051.13254195754	24934
13FL990326:250323723	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	277	1	1	3953.23600055425	24913
14FL991395:250410677	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	3726	1	1	3907.1190718794	24622
14FL991169:250410417	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	3533	1	1	3937.04763882771	24901
14FL992177:250411466	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	4316	1	1	3925.5455070476	24875
14FL991352:250410634	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	3685	1	1	3881.57205694274	24750
14FL991138:250410390	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	3506	1	1	3876.96497609934	24476
13FL991468:250349600	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	1247	1	1	3806.53594690962	24720
13FL991438:250349573	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	1220	1	1	3800.31728128564	24865
14FL990718:250409902	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	3153	1	1	3986.77808738375	24637
13FL992330:250308180	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	1962	1	1	3975.63995087213	24768
14FL992804:250412102	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	4779	1	1	3774.67287656996	24612
13FL991168:250307453	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	980	1	1	3876.90832168417	23968
14FL990474:250409637	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	2958	1	1	3800.05763303699	24334
14FL992376:250411667	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	4450	1	1	3875.71429177119	24855
14FL990058:250408003	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	2602	1	1	3867.95098064881	24834
13FL991814:250307576	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	1534	1	1	3852.5892638101	24678
13FL992396:250308273	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	2024	1	1	3861.0537412601	24507
13FL990090:250304411	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	80	1	1	3292.70033589073	22422
13FL991265:250426769	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	1070	1	1	3953.34003125339	24871
14FL992624:250411917	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	4632	1	1	4059.57030266457	24905
14FL990711:250409896	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	164_8_Tuxpeno_El_Aguacatito_Mex_:250358054	3147	1	1	3761.88908828042	24069
