er0,er01,er02,er1,er10,er12,er2,er20,er21,k01,k02,k21,k20,fam
0,0,0,0,0,0,0,0,0,0,0,0,0,164_1_Tuxpeno_El_Aguacatito_Mex_:250426647
0,0,0,0,0,0,0,0,0,0,0,0,0,170_2_Tuxpeno_El_Aguacatito_Mex_:250358088
4.75106780248861e-05,4.75106780248861e-05,0,0,0,0,0,0,0,0,0,0,0,166_9_Tuxpeno_El_Aguacatito_Mex_:250358067
0,0,0,0,0,0,0,0,0,0,0,0,0,166_12_Tuxpeno_El_Aguacatito_Mex_:250358070
0,0,0,0,0,0,0,0,0,0,0,0,0,169_6_Tuxpeno_El_Aguacatito_Mex_:250358083
1.38571329591907e-05,1.38571329591907e-05,0,0,0,0,0.000296798812804749,0,0.000296798812804749,0,0,0,0,164_14_Tuxpeno_El_Aguacatito_Mex_:250426648
0,0,0,0,0,0,0,0,0,0,0,0,0,171_5_Tuxpeno_El_Aguacatito_Mex_:250358097
0,0,0,0,0,0,0,0,0,0,0,0,0,171_13_Tuxpeno_El_Aguacatito_Mex_:250358104
0,0,0,0,0,0,0,0,0,0,0,0,0,164_8_Tuxpeno_El_Aguacatito_Mex_:250358054
0,0,0,0,0,0,0,0,0,0,0,0,0,170_1_Tuxpeno_El_Aguacatito_Mex_:250358087
0,0,0,0,0,0,0,0,0,0,0,0,0,165_4_Tuxpeno_El_Aguacatito_Mex_:250358059
0,0,0,0,0,0,0,0,0,0,0,0,0,171_10_Tuxpeno_El_Aguacatito_Mex_:250358102
0.000106807342772626,0.000106807342772626,0,0,0,0,0.000672681228236784,0,0.000672681228236784,0,0,0,0,170_7_Tuxpeno_El_Aguacatito_Mex_:250426650
0,0,0,0,0,0,0,0,0,0,0,0,0,169_11_Tuxpeno_El_Aguacatito_Mex_:250358085
0.000139475201309207,0.000139475201309207,0,0,0,0,0.000403877221324717,0,0.000403877221324717,0,0,0,0,170_11_Tuxpeno_El_Aguacatito_Mex_:250358092
0.000147916685926652,0.000147916685926652,0,0,0,0,0.00107696449863456,0,0.00107696449863456,0,0,0,0,171_11_Tuxpeno_El_Aguacatito_Mex_:250358103
0,0,0,0,0,0,0,0,0,0,0,0,0,170_12_Tuxpeno_El_Aguacatito_Mex_:250358093
0,0,0,0,0,0,0,0,0,0,0,0,0,166_10_Tuxpeno_El_Aguacatito_Mex_:250358068
