founder,nselfer,nox,tot
PC_I06_ID1_1:250276199,37,283,320
PC_N07_ID1_1:250276240,48,204,252
PC_J04_ID1_1:250276210,39,179,218
PC_N13_ID1_1:250276246,20,195,215
PC_L12_ID1_1:250276229,74,126,200
PC_N04_ID1_1:250276239,42,158,200
PC_L08_ID1_1:250276227,38,154,192
PC_N58_ID2_mrg:250276280,46,141,187
PC_K55_ID2_mrg:250276291,47,135,182
PC_L56_ID1_1:250276233,70,112,182
PC_I55_ID2_mrg:250276267,81,94,175
PC_I11_ID2_mrg:250276264,43,126,169
PC_J50_ID1_1:250276220,42,124,166
PC_M05_ID1_1:250276234,37,129,166
PC_L14_ID1_1:250276230,93,69,162
PC_N57_ID2_mrg:250276279,45,116,161
PC_K60_ID1_1:250276225,35,124,159
PC_O08_ID2_mrg:250276281,62,97,159
PC_I50_ID2_mrg:250276265,55,101,156
PC_K02_ID1_1:250276222,40,115,155
PC_J13_ID1_1:250276216,41,108,149
PC_I52_ID1_1:250276205,43,105,148
PC_J48_ID2_mrg:250276262,46,101,147
PC_N14_ID2_mrg:250276278,58,85,143
PC_N09_ID1_1:250276242,16,126,142
PC_J12_ID1_1:250276215,15,123,138
PC_M15_ID1_1:250276235,42,95,137
PC_O59_ID2_mrg:250276284,60,77,137
PC_I58_ID1_1:250276208,24,111,135
PC_I58_ID2_mrg:250276268,30,105,135
PC_M59_ID1_1:250276237,36,99,135
PC_N07_ID2_mrg:250276276,38,95,133
PC_J07_ID2_mrg:250276269,40,92,132
PC_L48_ID2_mrg:250276273,48,78,126
PC_M58_ID1_4:250276236,24,100,124
PC_J14_ID2_mrg:250276270,60,63,123
PC_L06_ID2_mrg:250276271,24,98,122
PC_N03_ID2_mrg:250276274,14,107,121
PC_J51_ID1_1:250276221,34,85,119
PC_L12_ID2_mrg:250276272,61,57,118
PC_O51_ID2_mrg:250276282,97,13,110
PC_I05_ID1_1:250276198,22,87,109
PC_I08_ID1_1:250276200,39,70,109
PC_K54_ID1_1:250276223,18,91,109
PC_I50_ID1_1:250276203,12,92,104
PC_N11_ID1_1:250276245,7,95,102
PC_N10_ID2_mrg:250276277,45,47,92
PC_J10_ID1_2:250276214,3,80,83
PC_N48_ID1_1:250276249,30,52,82
PC_J08_ID1_1:250276213,0,45,45
PC_N58_ID1_1:250276253,0,32,32
PC_O59_ID1_1:250276261,0,29,29
PC_J07_ID1_1:250276211,0,28,28
PC_L48_ID1_1:250276231,0,19,19
PC_J14_ID1_1:250276217,0,16,16
PC_N56_ID1_1:250276250,0,15,15
PC_O10_ID1_1:250276258,0,15,15
PC_O08_ID1_1:250276256,0,12,12
PC_I11_ID1_1:250276201,0,7,7
PC_L10_ID1_1:250276228,0,6,6
PC_N57_ID1_1:250276251,0,5,5
PC_O51_ID1_1:250276259,0,5,5
PC_I53_ID1_1:250276206,0,4,4
PC_K55_ID1_1:250276224,0,4,4
PC_N60_ID1_1:250276255,0,3,3
PC_N10_ID1_1:250276243,0,2,2
PC_J01_ID1_1:250276209,0,1,1
PC_N14_ID1_1:250276247,0,1,1
