founder,nselfer,nox,tot,er0,er01,er02,er1,er10,er12,er2,er20,er21,k01,k02,k21,k20
PC_I06_ID1,37,279,316,0.000117146969240553,0.000117146969240553,0,0,0,0,0.00196549464948679,0,0.00196549464948679,0.00103361749505625,0.000352294065839108,0.00385256639275932,0.00167917113254734
PC_I08_ID1,39,69,108,0,0,0,0,0,0,0,0,0,0.00140448154801828,0.000451864753087209,0.00550290268830328,0.00265858654468654
PC_I11_ID2,43,123,166,0,0,0,0,0,0,0,0,0,0.00141999071065176,0.000309506459752943,0.00539838697595446,0.00205747958750531
PC_I50_ID2,54,99,153,0,0,0,0,0,0,0,0,0,0.00130718954248366,0.000373763259267987,0.00561108119238445,0.00209871067887351
PC_I52_ID1,43,103,146,0,0,0,0,0,0,0,0,0,0.00167691306249887,0.000401193540235578,0.00747505009821234,0.00266859784528085
PC_I55_ID2,82,93,175,0,0,0,5.09216824523882e-05,5.09216824523882e-05,0,0,0,0,0.00171212764611812,0.000349782579794958,0.00734483406791026,0.00258387783672473
PC_J04_ID1,39,173,212,1.70172214280852e-05,1.70172214280852e-05,0,0,0,0,0.000669045495093666,0,0.000669045495093666,0.00155529631462395,0.000401251223122102,0.00616651632597938,0.00216082886133492
PC_J07_ID2,40,89,129,8.72356759020169e-05,8.72356759020169e-05,0,0,0,0,0.00246426811237063,0,0.00246426811237063,0.00180112005770665,0.000396954469720605,0.00826687713975276,0.00236782221857767
PC_J13_ID1,41,106,147,0,0,0,0,0,0,0,0,0,0.00124971730517715,0.00029343831132329,0.00468032826120487,0.00161152211721031
PC_J14_ID2,60,62,122,0,0,0,0,0,0,0,0,0,0.00126050715223696,0.000287622685851656,0.00511093912168886,0.00209716134232592
PC_J48_ID2,47,98,145,0,0,0,0,0,0,0,0,0,0.00145907645989458,0.000306560277085353,0.0054097366405624,0.00182833161419989
PC_J50_ID1,40,122,162,0,0,0,0,0,0,0,0,0,0.00138654283638706,0.000313675453413665,0.00556698346569457,0.00180184871761489
PC_J51_ID1,33,82,115,0,0,0,0,0,0,0,0,0,0.00188192638237193,0.000482812213998156,0.00823526232587048,0.00295226385267055
PC_K02_ID1,40,113,153,0,0,0,0,0,0,0,0,0,0.00171641016238521,0.000408227281864591,0.00770781329963341,0.00251182804683175
PC_K55_ID2,47,132,179,0,0,0,0,0,0,0,0,0,0.00113134843722633,0.000312189037968885,0.00436716684562426,0.00169182599907965
PC_K60_ID1,35,121,156,1.69603636301962e-05,1.69603636301962e-05,0,0,0,0,0,0,0,0.00147337820285508,0.0003261172058115,0.00622761220237398,0.00196076136070985
PC_L08_ID1,38,153,191,0,0,0,0,0,0,0.000682904620987935,0,0.000682904620987935,0.00134433379665304,0.000322142380480107,0.00517861097388549,0.00179434327603927
PC_L12_ID1,74,126,200,0,0,0,5.28262017960909e-05,5.28262017960909e-05,0,0,0,0,0.00170432801310492,0.00032461114190694,0.00742325337839848,0.00234449846179479
PC_L12_ID2,61,56,117,0,0,0,0,0,0,0,0,0,0.00111362625576322,0.000274886143743451,0.00450485436893204,0.00155339805825243
PC_L14_ID1,91,69,160,0,0,0,0.000268254734696067,0.000214603787756854,5.36509469392135e-05,0,0,0,0.00124357006681657,0.000344397224018122,0.00474650322315489,0.00180032075193546
PC_L48_ID2,47,77,124,0,0,0,0,0,0,0,0,0,0.00159240958894854,0.000345656652453434,0.00649308788768713,0.00205572666714419
PC_L56_ID1,69,110,179,0,0,0,0,0,0,0,0,0,0.001621683131509,0.000364035552937566,0.00647528532402724,0.00247193166454743
PC_M05_ID1,37,127,164,1.69279209127535e-05,1.69279209127535e-05,0,0,0,0,0.000880475456746643,0,0.000880475456746643,0.00106578251932579,0.000311499163602946,0.00438481363050637,0.00168830239106572
PC_M15_ID1,40,93,133,0,0,0,0,0,0,0,0,0,0.00148266316750444,0.000373002622146118,0.00569233545592823,0.00212431359406017
PC_M59_ID1,36,97,133,0,0,0,0,0,0,0,0,0,0.00199780885480441,0.000464502952097204,0.00941465659207595,0.00293034970454325
PC_N04_ID1,39,153,192,0,0,0,0,0,0,0,0,0,0.00138556459284542,0.000336275897290192,0.00605968298175568,0.002072476854622
PC_N07_ID1,47,199,246,0,0,0,0,0,0,0,0,0,0.00218492934812156,0.000504506915774718,0.00992041124613893,0.00338195837936554
PC_N07_ID2,38,94,132,8.70322019147084e-05,8.70322019147084e-05,0,0,0,0,0.00542452830188679,0,0.00542452830188679,0.00211788302867302,0.000423941286411086,0.00915474566926849,0.00273723510238033
PC_N10_ID2,45,45,90,0,0,0,9.04159132007233e-05,9.04159132007233e-05,0,0,0,0,0.00137754172733118,0.00036911363271746,0.00540679350998016,0.00247461188280612
PC_N14_ID2,56,84,140,0,0,0,0,0,0,0,0,0,0.00162142772789822,0.000390910910835053,0.00667715468524544,0.00237446134904582
PC_N57_ID2,45,112,157,0,0,0,0,0,0,0,0,0,0.00130260478145857,0.000291110958031374,0.00496609773205518,0.00151975683890578
PC_N58_ID2,46,141,187,0,0,0,0,0,0,0,0,0,0.00139888675303998,0.000322820019932304,0.00573570225585312,0.00243375951799227
PC_O08_ID2,62,97,159,0,0,0,0,0,0,0,0,0,0.00120050001042654,0.000339441739980676,0.00483482398788477,0.00241906889044269
PC_O51_ID2,97,12,109,0,0,0,0.000313577924114142,0.000313577924114142,0,0,0,0,0.00160468595500042,0.000367032167235809,0.0064422797872364,0.00227961000724424
PC_O59_ID2,60,76,136,0,0,0,6.22975330176925e-05,6.22975330176925e-05,0,0,0,0,0.00152016738669675,0.000335387483256459,0.00626203903951934,0.001940154238785
