kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21,er0,er1,er2,toter
A2448:250412500,28443,0,0.000351580353689836,172371,5.8014399173875e-05,5.8014399173875e-05,4674,0,0,0.00011602879834775,0.000351580353689836,0,0.000145993926652651
A0544:250416050,28492,0,0,170778,5.85555516518521e-06,0,4741,0,0,5.85555516518521e-06,0,0,4.90169647715074e-06
A2345:250412446,28492,0,0,170778,5.85555516518521e-06,0,4741,0,0,5.85555516518521e-06,0,0,4.90169647715074e-06
A1011:250416400,26558,0,0,165344,0,0,4739,0,0,0,0,0,0
A5862_1:250442003,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
B3579_1:250442054,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
A3407:250413208,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
A0064:250415738,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
A5862:250441779,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
A4056:250417377,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
E0245:250283157,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
A5846_1:250442001,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
A0597:250416110,27966,0,0,161883,0,0,4668,0,0,0,0,0,0
A5846:250441775,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
A5000:250423032,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
E2183:250272435,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
E2823:250284467,27045,0,0,163159,0,0,4614,0,0,0,0,0,0
A1980:250416997,27966,0,0,161883,0,0,4668,0,0,0,0,0,0
E2722_1:250442041,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
E2946:250272786,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A2944:250412843,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A3260:250413083,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A0698:250416161,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A0182:250415795,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
B3620:250314809,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A4544:250417638,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A5793:250441745,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A3389:250413195,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A5376:250420833,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A5541:250420939,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A5605:250420957,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
E0941:250277997,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A1938:250416980,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
E2012:250272313,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A5819:250441758,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
E2858:250272712,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
E0301:250283187,26424,0,0,162878,0,0,4765,0,0,0,0,0,0
A3547:250413322,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A5277_1:250441823,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
E2960_3:250442050,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A0103:250415756,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
E0541:250283058,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
E2891:250272732,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A2784:250412710,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A3100:250412990,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
E0240:250283154,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A0994:250416390,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
E0910:250277984,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A0385:250415928,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A5464:250420880,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
B3086:250283795,28608,0.000244686800894855,0,168990,5.9175099118291e-06,0,4597,0,0,5.9175099118291e-06,0.000244686800894855,0,3.95657657212097e-05
A2232:250417180,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A0324:250415895,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
E1731:250272097,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A3189:250413060,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A4212:250417437,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A0115:250415761,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
A4656:250417685,27455,0,0,162024,0,0,4521,0,0,0,0,0,0
