file,het,err,chunk,rate,type,size
largedata/sim2//size100_rate0.5_1k.csv,184,34,1,0.184782608695652,rate0.5,100
largedata/sim2//size100_rate1_1k.csv,184,0,1,0,rate1,100
largedata/sim2//size10_rate0_1k.csv,184,68,2,0.369565217391304,rate0,10
largedata/sim2//size10_rate0.5_1k.csv,184,37,3,0.201086956521739,rate0.5,10
largedata/sim2//size10_rate1_1k.csv,184,46,6,0.25,rate1,10
largedata/sim2//size11_rate0_1k.csv,184,67,4,0.364130434782609,rate0,11
largedata/sim2//size11_rate0.5_1k.csv,184,40,1,0.217391304347826,rate0.5,11
largedata/sim2//size11_rate1_1k.csv,184,18,4,0.0978260869565217,rate1,11
largedata/sim2//size12_rate0_1k.csv,184,59,3,0.320652173913043,rate0,12
largedata/sim2//size12_rate0.5_1k.csv,184,70,1,0.380434782608696,rate0.5,12
largedata/sim2//size12_rate1_1k.csv,184,3,5,0.016304347826087,rate1,12
largedata/sim2//size13_rate0_1k.csv,184,71,2,0.385869565217391,rate0,13
largedata/sim2//size13_rate0.5_1k.csv,184,70,2,0.380434782608696,rate0.5,13
largedata/sim2//size13_rate1_1k.csv,184,42,3,0.228260869565217,rate1,13
largedata/sim2//size14_rate0_1k.csv,184,68,2,0.369565217391304,rate0,14
largedata/sim2//size14_rate0.5_1k.csv,184,39,2,0.21195652173913,rate0.5,14
largedata/sim2//size14_rate1_1k.csv,184,52,3,0.282608695652174,rate1,14
largedata/sim2//size15_rate0_1k.csv,184,69,2,0.375,rate0,15
largedata/sim2//size15_rate0.5_1k.csv,184,41,2,0.222826086956522,rate0.5,15
largedata/sim2//size15_rate1_1k.csv,184,61,2,0.331521739130435,rate1,15
largedata/sim2//size16_rate0_1k.csv,184,67,2,0.364130434782609,rate0,16
largedata/sim2//size16_rate0.5_1k.csv,184,61,5,0.331521739130435,rate0.5,16
largedata/sim2//size16_rate1_1k.csv,184,2,1,0.0108695652173913,rate1,16
largedata/sim2//size17_rate0_1k.csv,184,50,3,0.271739130434783,rate0,17
largedata/sim2//size17_rate0.5_1k.csv,184,75,3,0.407608695652174,rate0.5,17
largedata/sim2//size17_rate1_1k.csv,184,20,2,0.108695652173913,rate1,17
largedata/sim2//size18_rate0_1k.csv,184,66,2,0.358695652173913,rate0,18
largedata/sim2//size18_rate0.5_1k.csv,184,71,1,0.385869565217391,rate0.5,18
largedata/sim2//size18_rate1_1k.csv,184,1,3,0.00543478260869565,rate1,18
largedata/sim2//size19_rate0_1k.csv,184,87,2,0.472826086956522,rate0,19
largedata/sim2//size19_rate0.5_1k.csv,184,31,1,0.168478260869565,rate0.5,19
largedata/sim2//size19_rate1_1k.csv,184,21,6,0.114130434782609,rate1,19
largedata/sim2//size1_rate0_1k.csv,184,57,11,0.309782608695652,rate0,1
largedata/sim2//size1_rate0.5_1k.csv,184,45,11,0.244565217391304,rate0.5,1
largedata/sim2//size1_rate1_1k.csv,184,45,11,0.244565217391304,rate1,1
largedata/sim2//size20_rate0_1k.csv,184,37,1,0.201086956521739,rate0,20
largedata/sim2//size20_rate0.5_1k.csv,184,87,1,0.472826086956522,rate0.5,20
largedata/sim2//size20_rate1_1k.csv,184,11,3,0.0597826086956522,rate1,20
largedata/sim2//size21_rate0_1k.csv,184,83,3,0.451086956521739,rate0,21
largedata/sim2//size21_rate0.5_1k.csv,184,75,2,0.407608695652174,rate0.5,21
largedata/sim2//size21_rate1_1k.csv,184,69,1,0.375,rate1,21
largedata/sim2//size22_rate0_1k.csv,184,79,1,0.429347826086957,rate0,22
largedata/sim2//size22_rate0.5_1k.csv,184,78,1,0.423913043478261,rate0.5,22
largedata/sim2//size22_rate1_1k.csv,184,21,3,0.114130434782609,rate1,22
largedata/sim2//size23_rate0_1k.csv,184,69,2,0.375,rate0,23
largedata/sim2//size23_rate0.5_1k.csv,184,81,1,0.440217391304348,rate0.5,23
largedata/sim2//size23_rate1_1k.csv,184,50,4,0.271739130434783,rate1,23
largedata/sim2//size24_rate0_1k.csv,184,73,1,0.396739130434783,rate0,24
largedata/sim2//size24_rate0.5_1k.csv,184,75,1,0.407608695652174,rate0.5,24
largedata/sim2//size24_rate1_1k.csv,184,50,2,0.271739130434783,rate1,24
largedata/sim2//size25_rate0_1k.csv,184,36,1,0.195652173913043,rate0,25
largedata/sim2//size25_rate0.5_1k.csv,184,56,1,0.304347826086957,rate0.5,25
largedata/sim2//size25_rate1_1k.csv,184,30,2,0.16304347826087,rate1,25
largedata/sim2//size26_rate0_1k.csv,184,73,1,0.396739130434783,rate0,26
largedata/sim2//size26_rate0.5_1k.csv,184,47,1,0.255434782608696,rate0.5,26
largedata/sim2//size26_rate1_1k.csv,184,0,2,0,rate1,26
largedata/sim2//size27_rate0_1k.csv,184,48,4,0.260869565217391,rate0,27
largedata/sim2//size27_rate0.5_1k.csv,184,57,2,0.309782608695652,rate0.5,27
largedata/sim2//size27_rate1_1k.csv,184,41,6,0.222826086956522,rate1,27
largedata/sim2//size28_rate0_1k.csv,184,80,1,0.434782608695652,rate0,28
largedata/sim2//size28_rate0.5_1k.csv,184,41,1,0.222826086956522,rate0.5,28
largedata/sim2//size28_rate1_1k.csv,184,24,1,0.130434782608696,rate1,28
largedata/sim2//size29_rate0_1k.csv,184,45,1,0.244565217391304,rate0,29
largedata/sim2//size29_rate0.5_1k.csv,184,79,1,0.429347826086957,rate0.5,29
largedata/sim2//size29_rate1_1k.csv,184,0,4,0,rate1,29
largedata/sim2//size2_rate0_1k.csv,184,58,9,0.315217391304348,rate0,2
largedata/sim2//size2_rate0.5_1k.csv,184,53,14,0.28804347826087,rate0.5,2
largedata/sim2//size2_rate1_1k.csv,184,67,13,0.364130434782609,rate1,2
largedata/sim2//size30_rate0_1k.csv,184,63,2,0.342391304347826,rate0,30
largedata/sim2//size30_rate0.5_1k.csv,184,36,2,0.195652173913043,rate0.5,30
largedata/sim2//size30_rate1_1k.csv,184,0,2,0,rate1,30
largedata/sim2//size31_rate0_1k.csv,184,51,1,0.277173913043478,rate0,31
largedata/sim2//size31_rate0.5_1k.csv,184,25,3,0.135869565217391,rate0.5,31
largedata/sim2//size31_rate1_1k.csv,184,0,1,0,rate1,31
largedata/sim2//size32_rate0_1k.csv,184,84,1,0.456521739130435,rate0,32
largedata/sim2//size32_rate0.5_1k.csv,184,84,1,0.456521739130435,rate0.5,32
largedata/sim2//size32_rate1_1k.csv,184,1,3,0.00543478260869565,rate1,32
largedata/sim2//size33_rate0_1k.csv,184,83,1,0.451086956521739,rate0,33
largedata/sim2//size33_rate0.5_1k.csv,184,80,1,0.434782608695652,rate0.5,33
largedata/sim2//size33_rate1_1k.csv,184,1,2,0.00543478260869565,rate1,33
largedata/sim2//size34_rate0_1k.csv,184,90,1,0.489130434782609,rate0,34
largedata/sim2//size34_rate0.5_1k.csv,184,70,1,0.380434782608696,rate0.5,34
largedata/sim2//size34_rate1_1k.csv,184,70,3,0.380434782608696,rate1,34
largedata/sim2//size35_rate0_1k.csv,184,31,2,0.168478260869565,rate0,35
largedata/sim2//size35_rate0.5_1k.csv,184,31,1,0.168478260869565,rate0.5,35
largedata/sim2//size35_rate1_1k.csv,184,0,1,0,rate1,35
largedata/sim2//size36_rate0_1k.csv,184,60,1,0.326086956521739,rate0,36
largedata/sim2//size36_rate0.5_1k.csv,184,83,1,0.451086956521739,rate0.5,36
largedata/sim2//size36_rate1_1k.csv,184,0,1,0,rate1,36
