er0,er01,er02,er1,er10,er12,er2,er20,er21,k01,k02,k21,k20,fam
0,0,0,0.000458792125458792,0.000458792125458792,0,0,0,0,0.00131273568324172,0.000925922227193319,0.00484811232559749,0.00366625420971586,PC_O51_ID2_mrg:250276282
0,0,0,0.000129068341686923,0.000107556951405769,2.15113902811539e-05,0,0,0,0.00111430237779544,0.000837334535178523,0.00370930417129633,0.0030075439226727,PC_L14_ID1_1:250276230
0,0,0,2.28315714970661e-05,2.28315714970661e-05,0,0,0,0,0.0014074997012686,0.000912416701419746,0.00535899375865867,0.0040435859416677,PC_I55_ID2_mrg:250276267
0,0,0,2.36016049091338e-05,2.36016049091338e-05,0,0,0,0,0.00135723768291324,0.000882834327331483,0.00523176959110863,0.00409089210464418,PC_L12_ID1_1:250276229
0,0,0,0,0,0,0,0,0,0.00128439391537326,0.000941746792300788,0.00451029582063713,0.00376766928984017,PC_L56_ID1_1:250276233
0,0,0,0,0,0,0,0,0,0.00104676205057243,0.000861453969163283,0.00384750089454712,0.00300921857674076,PC_O08_ID2_mrg:250276281
0,0,0,2.82925449144151e-05,2.82925449144151e-05,0,0,0,0,0.000968452470843935,0.000776831431508707,0.00350416857345466,0.0027185503139232,PC_L12_ID2_mrg:250276272
0,0,0,0,0,0,0,0,0,0.00106403395805714,0.000776658817056201,0.00364013596105648,0.0029650292237138,PC_J14_ID2_mrg:250276270
0,0,0,0,0,0,0,0,0,0.00124100660837343,0.000850775443747257,0.00461357459554158,0.00351284145846498,PC_O59_ID2_mrg:250276284
0,0,0,0,0,0,0,0,0,0.0011761499589022,0.000878087538684659,0.00451682742136498,0.00337162613464496,PC_N14_ID2_mrg:250276278
0,0,0,0,0,0,0,0,0,0.00106562660496393,0.000852033455032209,0.00390701887060516,0.00323808988215306,PC_I50_ID2_mrg:250276265
0,0,0,0,0,0,0,0,0,0.00123813634322535,0.000875240324880001,0.00450949457208926,0.00307989793477394,PC_L48_ID2_mrg:250276273
0,0,0,0,0,0,0,0,0,0.00160437235543018,0.0012998795251528,0.00674507436853559,0.00504517018131705,PC_N07_ID1_1:250276240
0,0,0,0,0,0,0,0,0,0.000977221732897012,0.000848282754250879,0.00356658696672167,0.00284807551468793,PC_K55_ID2_mrg:250276291
0,0,0,0,0,0,0,0,0,0.00121952173249627,0.000859771973230758,0.00424468316976067,0.00313137506095754,PC_J48_ID2_mrg:250276262
0,0,0,0,0,0,0,0,0,0.00110804751277509,0.000825711785713366,0.00376482695973158,0.0031329801292048,PC_N58_ID2_mrg:250276280
0,0,0,5.71232720210214e-05,5.71232720210214e-05,0,0,0,0,0.00108456654987616,0.000945014445852035,0.00401134800550206,0.00357290233837689,PC_N10_ID2_mrg:250276277
0,0,0,0,0,0,0,0,0,0.00103705032125453,0.00082684673934411,0.0038097018849844,0.00286145005734586,PC_N57_ID2_mrg:250276279
0,0,0,0,0,0,0,0,0,0.00122147914561362,0.000848654540721107,0.00449728952435869,0.00319277301412722,PC_I11_ID2_mrg:250276264
0,0,0,0,0,0,0,0,0,0.00130302137123477,0.00107104988152611,0.00495739162652834,0.00402000741015191,PC_I52_ID1_1:250276205
0,0,0,0,0,0,0,0,0,0.00110453072907053,0.000829132051806269,0.00405845993615142,0.00292261945192866,PC_J50_ID1_1:250276220
0,0,0,0,0,0,0,0,0,0.00115910966163621,0.000978834769376906,0.00423066153374338,0.00338110050535547,PC_M15_ID1_1:250276235
0,0,0,0,0,0,0,0,0,0.00137088969907872,0.00098781355596966,0.00537592756008473,0.00359780881349783,PC_N04_ID1_1:250276239
0,0,0,0,0,0,0,0,0,0.00101684284246536,0.000805008600354789,0.00369926376837006,0.00291786338453094,PC_J13_ID1_1:250276216
