file,err1,err2,size
largedata/sim1//res_10_1.csv,0.513,0.367,10
largedata/sim1//res_100_1.csv,0,0,100
largedata/sim1//res_11_1.csv,0.351,0.234,11
largedata/sim1//res_12_1.csv,0.355,0.247,12
largedata/sim1//res_13_1.csv,0.269,0.183,13
largedata/sim1//res_14_1.csv,0.212,0.15,14
largedata/sim1//res_15_1.csv,0.186,0.123,15
largedata/sim1//res_16_1.csv,0.139,0.098,16
largedata/sim1//res_17_1.csv,0.133,0.093,17
largedata/sim1//res_18_1.csv,0.139,0.099,18
largedata/sim1//res_19_1.csv,0.108,0.07,19
largedata/sim1//res_20_1.csv,0.108,0.072,20
largedata/sim1//res_21_1.csv,0.086,0.053,21
largedata/sim1//res_22_1.csv,0.111,0.075,22
largedata/sim1//res_23_1.csv,0.073,0.05,23
largedata/sim1//res_24_1.csv,0.066,0.042,24
largedata/sim1//res_25_1.csv,0.062,0.042,25
largedata/sim1//res_26_1.csv,0.055,0.032,26
largedata/sim1//res_27_1.csv,0.035,0.024,27
largedata/sim1//res_28_1.csv,0.034,0.023,28
largedata/sim1//res_29_1.csv,0.026,0.02,29
largedata/sim1//res_30_1.csv,0.027,0.017,30
largedata/sim1//res_31_1.csv,0.032,0.024,31
largedata/sim1//res_32_1.csv,0.034,0.025,32
largedata/sim1//res_33_1.csv,0.022,0.013,33
largedata/sim1//res_34_1.csv,0.011,0.007,34
largedata/sim1//res_35_1.csv,0.011,0.007,35
largedata/sim1//res_36_1.csv,0.015,0.01,36
largedata/sim1//res_37_1.csv,0.022,0.012,37
largedata/sim1//res_38_1.csv,0.012,0.01,38
largedata/sim1//res_39_1.csv,0.007,0.002,39
largedata/sim1//res_40_1.csv,0.005,0.003,40
largedata/sim1//res_41_1.csv,0.01,0.006,41
largedata/sim1//res_42_1.csv,0.007,0.004,42
largedata/sim1//res_43_1.csv,0.004,0.003,43
largedata/sim1//res_44_1.csv,0.002,0.002,44
largedata/sim1//res_45_1.csv,0.004,0.003,45
largedata/sim1//res_46_1.csv,0,0,46
largedata/sim1//res_47_1.csv,0.002,0.002,47
largedata/sim1//res_48_1.csv,0.008,0.006,48
largedata/sim1//res_49_1.csv,0.003,0.002,49
largedata/sim1//res_50_1.csv,0.002,0.001,50
largedata/sim1//res_51_1.csv,0.002,0.001,51
largedata/sim1//res_52_1.csv,0.001,0.001,52
largedata/sim1//res_53_1.csv,0.002,0.001,53
largedata/sim1//res_54_1.csv,0.003,0.002,54
largedata/sim1//res_55_1.csv,0.004,0.001,55
largedata/sim1//res_56_1.csv,0.002,0.001,56
largedata/sim1//res_57_1.csv,0.001,0.001,57
largedata/sim1//res_58_1.csv,0,0,58
largedata/sim1//res_59_1.csv,0.002,0.001,59
largedata/sim1//res_60_1.csv,0,0,60
largedata/sim1//res_61_1.csv,0,0,61
largedata/sim1//res_62_1.csv,0.002,0.002,62
largedata/sim1//res_63_1.csv,0,0,63
largedata/sim1//res_64_1.csv,0,0,64
largedata/sim1//res_65_1.csv,0.002,0.002,65
largedata/sim1//res_66_1.csv,0.001,0.001,66
largedata/sim1//res_67_1.csv,0,0,67
largedata/sim1//res_68_1.csv,0.001,0.001,68
largedata/sim1//res_69_1.csv,0.001,0.001,69
largedata/sim1//res_70_1.csv,0.001,0,70
largedata/sim1//res_71_1.csv,0,0,71
largedata/sim1//res_72_1.csv,0,0,72
largedata/sim1//res_73_1.csv,0,0,73
largedata/sim1//res_74_1.csv,0,0,74
largedata/sim1//res_75_1.csv,0,0,75
largedata/sim1//res_76_1.csv,0.001,0,76
largedata/sim1//res_77_1.csv,0,0,77
largedata/sim1//res_78_1.csv,0,0,78
largedata/sim1//res_79_1.csv,0,0,79
largedata/sim1//res_80_1.csv,0,0,80
largedata/sim1//res_81_1.csv,0,0,81
largedata/sim1//res_82_1.csv,0,0,82
largedata/sim1//res_83_1.csv,0,0,83
largedata/sim1//res_84_1.csv,0,0,84
largedata/sim1//res_85_1.csv,0.001,0,85
largedata/sim1//res_86_1.csv,0,0,86
largedata/sim1//res_87_1.csv,0,0,87
largedata/sim1//res_88_1.csv,0,0,88
largedata/sim1//res_89_1.csv,0,0,89
largedata/sim1//res_90_1.csv,0,0,90
largedata/sim1//res_91_1.csv,0,0,91
largedata/sim1//res_92_1.csv,0,0,92
largedata/sim1//res_93_1.csv,0,0,93
largedata/sim1//res_94_1.csv,0,0,94
largedata/sim1//res_95_1.csv,0,0,95
largedata/sim1//res_96_1.csv,0,0,96
largedata/sim1//res_97_1.csv,0,0,97
largedata/sim1//res_98_1.csv,0,0,98
largedata/sim1//res_99_1.csv,0,0,99
