file,het,err,chunk,rate
largedata/sim2//size10_ocphased_10kloci.csv,1926,692,17,0.359293873312565
largedata/sim2//size11_ocphased_10kloci.csv,1926,550,15,0.285565939771547
largedata/sim2//size12_ocphased_10kloci.csv,1926,736,11,0.382139148494289
largedata/sim2//size13_ocphased_10kloci.csv,1926,606,9,0.314641744548287
largedata/sim2//size14_ocphased_10kloci.csv,1926,726,5,0.376947040498442
largedata/sim2//size15_ocphased_10kloci.csv,1926,689,6,0.357736240913811
largedata/sim2//size16_ocphased_10kloci.csv,1926,670,6,0.347871235721703
largedata/sim2//size17_ocphased_10kloci.csv,1926,515,5,0.267393561786085
largedata/sim2//size18_ocphased_10kloci.csv,1926,579,3,0.300623052959502
largedata/sim2//size19_ocphased_10kloci.csv,1926,734,2,0.381100726895119
largedata/sim2//size1_ocphased_10kloci.csv,1926,1915,2,0.994288681204569
largedata/sim2//size20_ocphased_10kloci.csv,1926,650,2,0.33748701973001
largedata/sim2//size21_ocphased_10kloci.csv,1926,598,4,0.31048805815161
largedata/sim2//size22_ocphased_10kloci.csv,1926,732,1,0.38006230529595
largedata/sim2//size23_ocphased_10kloci.csv,1926,424,3,0.220145379023884
largedata/sim2//size24_ocphased_10kloci.csv,1926,298,2,0.15472481827622
largedata/sim2//size25_ocphased_10kloci.csv,1926,424,3,0.220145379023884
largedata/sim2//size26_ocphased_10kloci.csv,1926,685,2,0.355659397715473
largedata/sim2//size27_ocphased_10kloci.csv,1926,471,1,0.244548286604361
largedata/sim2//size28_ocphased_10kloci.csv,1926,512,1,0.265835929387331
largedata/sim2//size29_ocphased_10kloci.csv,1926,924,2,0.479750778816199
largedata/sim2//size2_ocphased_10kloci.csv,1926,1685,9,0.874870197300104
largedata/sim2//size30_ocphased_10kloci.csv,1926,173,1,0.0898234683281412
largedata/sim2//size31_ocphased_10kloci.csv,1926,121,1,0.0628245067497404
largedata/sim2//size3_ocphased_10kloci.csv,1926,1316,20,0.683281412253375
largedata/sim2//size4_ocphased_10kloci.csv,1926,1122,28,0.582554517133956
largedata/sim2//size5_ocphased_10kloci.csv,1926,919,30,0.477154724818276
largedata/sim2//size6_ocphased_10kloci.csv,1926,776,31,0.402907580477674
largedata/sim2//size7_ocphased_10kloci.csv,1926,764,19,0.396677050882658
largedata/sim2//size8_ocphased_10kloci.csv,1926,740,20,0.384215991692627
largedata/sim2//size9_ocphased_10kloci.csv,1926,761,15,0.395119418483904
