file,err1,err2,size
largedata/sim1//res_100_srate0.5.csv,0,0,100
largedata/sim1//res_10_srate0.5.csv,0.4316,0.3114,10
largedata/sim1//res_11_srate0.5.csv,0.3897,0.2752,11
largedata/sim1//res_12_srate0.5.csv,0.3419,0.2332,12
largedata/sim1//res_13_srate0.5.csv,0.2707,0.1823,13
largedata/sim1//res_14_srate0.5.csv,0.238,0.1577,14
largedata/sim1//res_15_srate0.5.csv,0.2187,0.142,15
largedata/sim1//res_16_srate0.5.csv,0.1841,0.1196,16
largedata/sim1//res_17_srate0.5.csv,0.1456,0.0957,17
largedata/sim1//res_18_srate0.5.csv,0.1283,0.0871,18
largedata/sim1//res_19_srate0.5.csv,0.1126,0.0763,19
largedata/sim1//res_20_srate0.5.csv,0.1157,0.0847,20
largedata/sim1//res_21_srate0.5.csv,0.0803,0.0531,21
largedata/sim1//res_22_srate0.5.csv,0.0676,0.0441,22
largedata/sim1//res_23_srate0.5.csv,0.0703,0.0472,23
largedata/sim1//res_24_srate0.5.csv,0.0567,0.039,24
largedata/sim1//res_25_srate0.5.csv,0.051,0.0335,25
largedata/sim1//res_26_srate0.5.csv,0.0424,0.0275,26
largedata/sim1//res_27_srate0.5.csv,0.0385,0.0247,27
largedata/sim1//res_28_srate0.5.csv,0.034,0.0223,28
largedata/sim1//res_29_srate0.5.csv,0.0382,0.0248,29
largedata/sim1//res_30_srate0.5.csv,0.0309,0.0198,30
largedata/sim1//res_31_srate0.5.csv,0.0243,0.0145,31
largedata/sim1//res_32_srate0.5.csv,0.02,0.0142,32
largedata/sim1//res_33_srate0.5.csv,0.0201,0.0125,33
largedata/sim1//res_34_srate0.5.csv,0.019,0.0128,34
largedata/sim1//res_35_srate0.5.csv,0.0177,0.011,35
largedata/sim1//res_36_srate0.5.csv,0.0128,0.0078,36
largedata/sim1//res_37_srate0.5.csv,0.0127,0.0085,37
largedata/sim1//res_38_srate0.5.csv,0.012,0.0083,38
largedata/sim1//res_39_srate0.5.csv,0.0091,0.0052,39
largedata/sim1//res_40_srate0.5.csv,0.0084,0.0062,40
largedata/sim1//res_41_srate0.5.csv,0.0064,0.0034,41
largedata/sim1//res_42_srate0.5.csv,0.0065,0.0046,42
largedata/sim1//res_43_srate0.5.csv,0.0069,0.0043,43
largedata/sim1//res_44_srate0.5.csv,0.0055,0.0041,44
largedata/sim1//res_45_srate0.5.csv,0.0033,0.0021,45
largedata/sim1//res_46_srate0.5.csv,0.0033,0.0019,46
largedata/sim1//res_47_srate0.5.csv,0.0021,0.0014,47
largedata/sim1//res_48_srate0.5.csv,0.003,0.0019,48
largedata/sim1//res_49_srate0.5.csv,0.0028,0.0017,49
largedata/sim1//res_50_srate0.5.csv,0.0022,0.0015,50
largedata/sim1//res_51_srate0.5.csv,0.0015,0.0012,51
largedata/sim1//res_52_srate0.5.csv,0.0032,0.0022,52
largedata/sim1//res_53_srate0.5.csv,0.0021,0.0012,53
largedata/sim1//res_54_srate0.5.csv,0.0021,0.001,54
largedata/sim1//res_55_srate0.5.csv,0.001,8e-04,55
largedata/sim1//res_56_srate0.5.csv,9e-04,6e-04,56
largedata/sim1//res_57_srate0.5.csv,6e-04,6e-04,57
largedata/sim1//res_58_srate0.5.csv,0.0041,0.0025,58
largedata/sim1//res_59_srate0.5.csv,6e-04,5e-04,59
largedata/sim1//res_60_srate0.5.csv,8e-04,6e-04,60
largedata/sim1//res_61_srate0.5.csv,0.0012,9e-04,61
largedata/sim1//res_62_srate0.5.csv,5e-04,3e-04,62
largedata/sim1//res_63_srate0.5.csv,6e-04,4e-04,63
largedata/sim1//res_64_srate0.5.csv,5e-04,4e-04,64
largedata/sim1//res_65_srate0.5.csv,0.0013,0.0011,65
largedata/sim1//res_66_srate0.5.csv,1e-04,0,66
largedata/sim1//res_67_srate0.5.csv,0.0013,0.001,67
largedata/sim1//res_68_srate0.5.csv,3e-04,3e-04,68
largedata/sim1//res_69_srate0.5.csv,1e-04,1e-04,69
largedata/sim1//res_70_srate0.5.csv,1e-04,1e-04,70
largedata/sim1//res_71_srate0.5.csv,0,0,71
largedata/sim1//res_72_srate0.5.csv,3e-04,1e-04,72
largedata/sim1//res_73_srate0.5.csv,3e-04,2e-04,73
largedata/sim1//res_74_srate0.5.csv,1e-04,1e-04,74
largedata/sim1//res_75_srate0.5.csv,3e-04,1e-04,75
largedata/sim1//res_76_srate0.5.csv,0,0,76
largedata/sim1//res_77_srate0.5.csv,0,0,77
largedata/sim1//res_78_srate0.5.csv,1e-04,1e-04,78
largedata/sim1//res_79_srate0.5.csv,2e-04,2e-04,79
largedata/sim1//res_80_srate0.5.csv,1e-04,1e-04,80
largedata/sim1//res_81_srate0.5.csv,2e-04,2e-04,81
largedata/sim1//res_82_srate0.5.csv,0,0,82
largedata/sim1//res_83_srate0.5.csv,0,0,83
largedata/sim1//res_84_srate0.5.csv,0,0,84
largedata/sim1//res_85_srate0.5.csv,0,0,85
largedata/sim1//res_86_srate0.5.csv,0,0,86
largedata/sim1//res_87_srate0.5.csv,1e-04,1e-04,87
largedata/sim1//res_88_srate0.5.csv,0,0,88
largedata/sim1//res_89_srate0.5.csv,0.0015,0.0014,89
largedata/sim1//res_90_srate0.5.csv,0,0,90
largedata/sim1//res_91_srate0.5.csv,1e-04,0,91
largedata/sim1//res_92_srate0.5.csv,1e-04,1e-04,92
largedata/sim1//res_93_srate0.5.csv,0,0,93
