size,error,rand
1,120,1
2,112,1
3,131,1
4,104,1
5,117,1
6,101,1
7,109,1
8,111,1
9,85,1
10,88,1
11,125,1
12,98,1
13,101,1
14,79,1
15,94,1
16,92,1
17,75,1
18,92,1
19,94,1
20,73,1
21,79,1
22,85,1
23,82,1
24,77,1
25,91,1
26,93,1
27,83,1
28,64,1
29,100,1
30,75,1
31,79,1
32,64,1
33,98,1
34,90,1
35,80,1
36,97,1
37,79,1
38,64,1
39,84,1
40,76,1
41,90,1
42,97,1
43,93,1
44,85,1
45,83,1
46,91,1
47,71,1
48,73,1
49,65,1
50,78,1
51,87,1
52,59,1
53,84,1
54,83,1
55,99,1
56,89,1
57,82,1
58,81,1
59,64,1
60,76,1
61,101,1
62,80,1
63,90,1
64,102,1
65,72,1
66,86,1
67,100,1
68,86,1
69,89,1
70,93,1
71,95,1
72,79,1
73,75,1
74,90,1
75,98,1
76,93,1
77,86,1
78,77,1
79,93,1
80,77,1
81,82,1
82,83,1
83,78,1
84,83,1
85,95,1
86,96,1
87,73,1
88,80,1
89,102,1
90,74,1
91,89,1
92,88,1
93,87,1
94,75,1
95,97,1
96,93,1
97,89,1
98,71,1
99,88,1
100,84,1
1,135,2
2,116,2
3,107,2
4,95,2
5,108,2
6,110,2
7,117,2
8,100,2
9,92,2
10,95,2
11,109,2
12,98,2
13,108,2
14,84,2
15,81,2
16,89,2
17,83,2
18,75,2
19,81,2
20,85,2
21,76,2
22,83,2
23,94,2
24,88,2
25,68,2
26,90,2
27,88,2
28,105,2
29,76,2
30,84,2
31,84,2
32,74,2
33,91,2
34,91,2
35,78,2
36,78,2
37,80,2
38,93,2
39,85,2
40,83,2
41,76,2
42,76,2
43,79,2
44,94,2
45,86,2
46,83,2
47,84,2
48,85,2
49,73,2
50,80,2
51,101,2
52,86,2
53,87,2
54,83,2
55,89,2
56,78,2
57,86,2
58,88,2
59,76,2
60,83,2
61,87,2
62,83,2
63,87,2
64,76,2
65,73,2
66,77,2
67,79,2
68,84,2
69,92,2
70,91,2
71,90,2
72,81,2
73,85,2
74,84,2
75,79,2
76,67,2
77,86,2
78,92,2
79,78,2
80,83,2
81,77,2
82,93,2
83,76,2
84,82,2
85,90,2
86,92,2
87,82,2
88,77,2
89,98,2
90,94,2
91,65,2
92,83,2
93,78,2
94,76,2
95,87,2
96,80,2
97,75,2
98,78,2
99,90,2
100,86,2
1,113,3
2,115,3
3,111,3
4,117,3
5,107,3
6,106,3
7,108,3
8,99,3
9,106,3
10,97,3
11,100,3
12,106,3
13,98,3
14,91,3
15,88,3
16,86,3
17,93,3
18,95,3
19,78,3
20,79,3
21,85,3
22,100,3
23,93,3
24,86,3
25,84,3
26,94,3
27,84,3
28,72,3
29,76,3
30,82,3
31,66,3
32,78,3
33,75,3
34,87,3
35,76,3
36,101,3
37,81,3
38,81,3
39,88,3
40,87,3
41,94,3
42,83,3
43,88,3
44,75,3
45,88,3
46,82,3
47,80,3
48,84,3
49,92,3
50,93,3
51,80,3
52,92,3
53,85,3
54,92,3
55,78,3
56,71,3
57,103,3
58,88,3
59,88,3
60,88,3
61,80,3
62,93,3
63,83,3
64,91,3
65,88,3
66,82,3
67,88,3
68,81,3
69,83,3
70,78,3
71,90,3
72,103,3
73,106,3
74,82,3
75,71,3
76,80,3
77,79,3
78,96,3
79,83,3
80,80,3
81,79,3
82,80,3
83,81,3
84,93,3
85,100,3
86,78,3
87,88,3
88,78,3
89,88,3
90,65,3
91,89,3
92,92,3
93,106,3
94,97,3
95,87,3
96,79,3
97,90,3
98,82,3
99,88,3
100,79,3
1,119,4
2,101,4
3,110,4
4,108,4
5,102,4
6,111,4
7,106,4
8,92,4
9,104,4
10,110,4
11,99,4
12,92,4
13,94,4
14,108,4
15,101,4
16,90,4
17,103,4
18,87,4
19,84,4
20,98,4
21,79,4
22,98,4
23,88,4
24,90,4
25,90,4
26,83,4
27,87,4
28,83,4
29,72,4
30,86,4
31,95,4
32,97,4
33,75,4
34,88,4
35,62,4
36,68,4
37,79,4
38,81,4
39,83,4
40,68,4
41,85,4
42,86,4
43,74,4
44,75,4
45,81,4
46,97,4
47,81,4
48,78,4
49,80,4
50,85,4
51,85,4
52,79,4
53,77,4
54,81,4
55,94,4
56,66,4
57,87,4
58,74,4
59,100,4
60,80,4
61,87,4
62,90,4
63,85,4
64,82,4
65,78,4
66,74,4
67,92,4
68,78,4
69,74,4
70,87,4
71,91,4
72,88,4
73,91,4
74,95,4
75,98,4
76,95,4
77,79,4
78,79,4
79,95,4
80,78,4
81,80,4
82,68,4
83,80,4
84,85,4
85,96,4
86,73,4
87,84,4
88,93,4
89,88,4
90,89,4
91,83,4
92,77,4
93,92,4
94,94,4
95,86,4
96,79,4
97,68,4
98,82,4
99,85,4
100,77,4
1,125,5
2,124,5
3,124,5
4,128,5
5,106,5
6,99,5
7,96,5
8,97,5
9,89,5
10,91,5
11,98,5
12,89,5
13,89,5
14,94,5
15,92,5
16,94,5
17,93,5
18,82,5
19,83,5
20,92,5
21,81,5
22,91,5
23,91,5
24,90,5
25,83,5
26,100,5
27,85,5
28,92,5
29,80,5
30,85,5
31,87,5
32,88,5
33,75,5
34,67,5
35,83,5
36,83,5
37,80,5
38,85,5
39,78,5
40,84,5
41,78,5
42,76,5
43,71,5
44,72,5
45,75,5
46,68,5
47,66,5
48,75,5
49,82,5
50,88,5
51,73,5
52,88,5
53,82,5
54,71,5
55,92,5
56,75,5
57,73,5
58,94,5
59,85,5
60,85,5
61,72,5
62,81,5
63,82,5
64,66,5
65,79,5
66,93,5
67,76,5
68,85,5
69,88,5
70,67,5
71,73,5
72,97,5
73,100,5
74,83,5
75,95,5
76,86,5
77,80,5
78,82,5
79,76,5
80,74,5
81,74,5
82,73,5
83,77,5
84,105,5
85,96,5
86,66,5
87,80,5
88,90,5
89,88,5
90,80,5
91,89,5
92,88,5
93,83,5
94,81,5
95,71,5
96,94,5
97,93,5
98,91,5
99,93,5
100,81,5
