size,error,rand
1,124,1
2,125,1
3,111,1
4,119,1
5,108,1
6,99,1
7,113,1
8,105,1
9,101,1
10,106,1
11,74,1
12,93,1
13,84,1
14,89,1
15,68,1
16,99,1
17,91,1
18,98,1
19,75,1
20,101,1
21,103,1
22,104,1
23,85,1
24,93,1
25,80,1
26,88,1
27,64,1
28,72,1
29,90,1
30,78,1
31,86,1
32,86,1
33,86,1
34,74,1
35,73,1
36,94,1
37,78,1
38,84,1
39,74,1
40,72,1
41,95,1
42,67,1
43,80,1
44,84,1
45,87,1
46,77,1
47,91,1
48,77,1
49,76,1
50,84,1
51,99,1
52,74,1
53,97,1
54,72,1
55,71,1
56,82,1
57,87,1
58,86,1
59,67,1
60,70,1
61,85,1
62,83,1
63,76,1
64,85,1
65,84,1
66,80,1
67,82,1
68,96,1
69,83,1
70,71,1
71,87,1
72,85,1
73,72,1
74,84,1
75,82,1
76,82,1
77,93,1
78,92,1
79,84,1
80,73,1
81,95,1
82,90,1
83,91,1
84,90,1
85,78,1
86,78,1
87,92,1
88,90,1
89,84,1
90,80,1
91,73,1
92,91,1
93,97,1
94,69,1
95,76,1
96,90,1
97,85,1
98,78,1
99,79,1
100,86,1
1,123,2
2,124,2
3,110,2
4,104,2
5,110,2
6,101,2
7,104,2
8,119,2
9,108,2
10,102,2
11,84,2
12,89,2
13,110,2
14,98,2
15,80,2
16,87,2
17,91,2
18,85,2
19,102,2
20,79,2
21,91,2
22,83,2
23,79,2
24,78,2
25,79,2
26,100,2
27,86,2
28,76,2
29,86,2
30,82,2
31,75,2
32,99,2
33,96,2
34,79,2
35,89,2
36,69,2
37,91,2
38,84,2
39,75,2
40,87,2
41,85,2
42,74,2
43,93,2
44,95,2
45,82,2
46,73,2
47,84,2
48,75,2
49,73,2
50,76,2
51,85,2
52,80,2
53,76,2
54,63,2
55,83,2
56,83,2
57,76,2
58,88,2
59,82,2
60,71,2
61,92,2
62,84,2
63,75,2
64,102,2
65,87,2
66,77,2
67,87,2
68,82,2
69,77,2
70,90,2
71,85,2
72,77,2
73,102,2
74,74,2
75,95,2
76,75,2
77,82,2
78,66,2
79,80,2
80,84,2
81,98,2
82,74,2
83,81,2
84,89,2
85,81,2
86,85,2
87,76,2
88,74,2
89,98,2
90,83,2
91,96,2
92,93,2
93,86,2
94,95,2
95,72,2
96,98,2
97,68,2
98,86,2
99,85,2
100,81,2
1,120,3
2,119,3
3,141,3
4,95,3
5,113,3
6,109,3
7,96,3
8,108,3
9,109,3
10,98,3
11,106,3
12,93,3
13,91,3
14,72,3
15,91,3
16,90,3
17,80,3
18,82,3
19,92,3
20,96,3
21,107,3
22,92,3
23,91,3
24,71,3
25,82,3
26,94,3
27,78,3
28,77,3
29,69,3
30,66,3
31,80,3
32,81,3
33,91,3
34,104,3
35,64,3
36,90,3
37,84,3
38,73,3
39,88,3
40,91,3
41,85,3
42,82,3
43,78,3
44,83,3
45,92,3
46,64,3
47,74,3
48,100,3
49,84,3
50,88,3
51,80,3
52,81,3
53,92,3
54,88,3
55,96,3
56,95,3
57,106,3
58,85,3
59,75,3
60,97,3
61,83,3
62,67,3
63,83,3
64,89,3
65,70,3
66,71,3
67,85,3
68,80,3
69,81,3
70,68,3
71,88,3
72,73,3
73,92,3
74,80,3
75,83,3
76,90,3
77,91,3
78,78,3
79,86,3
80,94,3
81,70,3
82,75,3
83,86,3
84,77,3
85,81,3
86,97,3
87,89,3
88,83,3
89,86,3
90,82,3
91,82,3
92,88,3
93,93,3
94,81,3
95,89,3
96,86,3
97,99,3
98,79,3
99,96,3
100,83,3
1,116,4
2,115,4
3,126,4
4,106,4
5,129,4
6,123,4
7,98,4
8,100,4
9,108,4
10,97,4
11,86,4
12,118,4
13,117,4
14,72,4
15,94,4
16,98,4
17,88,4
18,95,4
19,109,4
20,95,4
21,88,4
22,92,4
23,76,4
24,76,4
25,76,4
26,94,4
27,80,4
28,95,4
29,88,4
30,72,4
31,84,4
32,78,4
33,84,4
34,80,4
35,83,4
36,75,4
37,72,4
38,83,4
39,89,4
40,86,4
41,91,4
42,75,4
43,87,4
44,78,4
45,81,4
46,105,4
47,73,4
48,105,4
49,64,4
50,90,4
51,84,4
52,88,4
53,75,4
54,72,4
55,85,4
56,85,4
57,80,4
58,89,4
59,86,4
60,73,4
61,106,4
62,81,4
63,89,4
64,71,4
65,79,4
66,95,4
67,74,4
68,98,4
69,80,4
70,95,4
71,91,4
72,85,4
73,79,4
74,84,4
75,91,4
76,70,4
77,74,4
78,85,4
79,88,4
80,92,4
81,87,4
82,91,4
83,79,4
84,75,4
85,86,4
86,83,4
87,97,4
88,76,4
89,94,4
90,92,4
91,89,4
92,95,4
93,83,4
94,87,4
95,91,4
96,87,4
97,91,4
98,82,4
99,61,4
100,92,4
1,102,5
2,128,5
3,113,5
4,115,5
5,100,5
6,107,5
7,107,5
8,100,5
9,113,5
10,101,5
11,98,5
12,99,5
13,99,5
14,95,5
15,95,5
16,82,5
17,83,5
18,87,5
19,85,5
20,82,5
21,76,5
22,77,5
23,91,5
24,68,5
25,86,5
26,85,5
27,93,5
28,71,5
29,74,5
30,69,5
31,97,5
32,71,5
33,72,5
34,87,5
35,92,5
36,74,5
37,81,5
38,73,5
39,84,5
40,89,5
41,74,5
42,70,5
43,99,5
44,80,5
45,93,5
46,86,5
47,72,5
48,70,5
49,68,5
50,77,5
51,81,5
52,76,5
53,80,5
54,77,5
55,86,5
56,75,5
57,86,5
58,72,5
59,79,5
60,76,5
61,82,5
62,83,5
63,84,5
64,91,5
65,82,5
66,84,5
67,84,5
68,96,5
69,79,5
70,89,5
71,86,5
72,75,5
73,83,5
74,71,5
75,94,5
76,77,5
77,87,5
78,95,5
79,76,5
80,84,5
81,77,5
82,87,5
83,82,5
84,91,5
85,84,5
86,83,5
87,81,5
88,96,5
89,82,5
90,88,5
91,96,5
92,73,5
93,78,5
94,100,5
95,94,5
96,108,5
97,93,5
98,98,5
99,73,5
100,82,5
