plantid	sites	rate
A0003:250415708	23281	0.0724483889639205
A0004:250415709	31275	0.0973250017115508
A0008:250415711	23203	0.0722056599428653
A0013:250415712	27520	0.085639777685112
A0014:250415713	27660	0.0860754451588008
A0015:250415714	22131	0.0688696918586197
A0017:250415715	24886	0.0774430053587099
A0020:250415716	24851	0.0773340884902877
A0021:250415717	24563	0.0764378582586994
A0022:250415719	21071	0.0655710667006902
A0024:250415720	18047	0.0561606492690122
A0027:250415721	17029	0.0529927243531894
A0028:250415722	19492	0.0606573599795859
A0030:250415723	22310	0.0694267238428361
A0031:250415724	25938	0.0807167352324286
A0034:250415725	24053	0.0748507838902616
A0035:250415726	25989	0.0808754426692724
A0036:250415727	17553	0.054623365468996
A0038:250415728	19073	0.0593534694690458
A0039:250415729	23652	0.0736029077691958
A0042:250415730	20265	0.0630628668164533
A0044:250415731	21716	0.067578248990185
A0045:250415732	32984	0.10264325680108
A0048:250415733	24342	0.0757501260323763
A0049:250415734	19551	0.0608409627006404
A0051:250415735	10411	0.0323981004898147
A0052:250415736	16612	0.0516950576637021
A0060:250441870	17742	0.0552115165584759
A0061:250415737	22586	0.0702856111481083
A0064:250415738	22599	0.0703260659849508
A0066:250415739	28357	0.0882444467956657
A0072:250415740	32161	0.100082154437896
A0073:250415741	19842	0.0617465286638079
A0078:250415742	23875	0.0742968638165716
A0081:250415743	24051	0.0748445600692089
A0082:250415744	17553	0.054623365468996
A0084:250415745	13888	0.0432182133899286
A0085:250415746	17521	0.0545237843321529
A0086:250441871	15100	0.0469898489478631
A0089:250415747	29591	0.0920845443851798
A0090:250415748	20059	0.0624218132480255
A0091:250415749	12342	0.0384071997161938
A0092:250415750	24010	0.0747169717376286
A0094:250415751	14936	0.0464794956215419
A0095:250415752	19130	0.0595308483690477
A0100:250415753	18329	0.0570382080374425
A0101:250415754	14047	0.043713007163618
A0102:250415755	27462	0.0854592868745838
A0103:250415756	16830	0.052373454158446
A0107:250415757	23576	0.0733664025691933
A0112:250415758	15536	0.048346641937351
A0113:250415759	14526	0.045203612305739
A0114:250415760	17859	0.0555756100900587
A0115:250415761	15942	0.0496100776110485
A0116:250415762	16452	0.0511971519794863
A0118:250415763	18368	0.0571595725479701
A0119:250415764	20611	0.0641395878585699
A0121:250415765	17010	0.0529335980531888
A0123:250415766	22522	0.070086448874422
A0126:250415767	16350	0.0508797371057987
A0127:250415768	15402	0.0479296459268203
A0128:250415769	13118	0.0408220422846402
A0129:250415770	19555	0.0608534103427458
A0131:250415771	22080	0.0687109844217759
A0132:250415772	27320	0.0850173955798423
A0134:250415773	15694	0.0488383238005141
A0135:250415774	25210	0.0784512643692469
A0137:250415775	15422	0.0479918841373473
A0139:250415776	15962	0.0496723158215755
A0140:250415777	12999	0.0404517249320048
A0142:250415778	18746	0.0583358747269299
A0143:250415779	20283	0.0631188812059276
A0144:250441872	9484	0.0295133594318896
A0146:250415780	22034	0.0685678365375639
A0148:250415781	26196	0.0815196081482265
A0149:250415782	16177	0.0503413765847404
A0150:250415783	18413	0.0572996085216558
A0151:250415784	17259	0.0537084637742496
A0152:250415785	22822	0.0710200220323265
A0154:250415786	17060	0.0530891935795062
A0156:250415787	20087	0.0625089467427632
A0171:250415788	30840	0.0959713206325892
A0172:250415789	19363	0.0602559235216869
A0173:250415790	21494	0.0668874048533357
A0176:250415791	624	0.00194183216844149
A0178:250415792	23082	0.0718291187691771
A0179:250415793	18523	0.0576419186795541
A0180:250415794	25013	0.0778382179955562
A0182:250415795	20775	0.064649941184891
A0183:250415796	24815	0.0772220597113392
A0184:250415797	23095	0.0718695736060197
A0186:250415798	24357	0.0757968046902715
A0189:250415799	15962	0.0496723158215755
A0190:250415800	14940	0.0464919432636473
A0191:250415801	16622	0.0517261767689655
A0193:250415802	23484	0.0730801068007693
A0194:250415803	19747	0.0614508971638047
A0195:250415835	21631	0.0673137365954454
A0196:250415836	23755	0.0739234345534097
A0197:250415837	15613	0.0485862590478799
A0198:250415838	19562	0.0608751937164303
A0199:250415839	22121	0.0688385727533562
A0201:250415840	23258	0.0723768150218145
A0204:250415841	22154	0.0689412658007257
A0205:250415842	20995	0.0653345615006877
A0206:250415843	25958	0.0807789734429556
A0207:250415844	23944	0.0745115856428896
A0209:250415846	19941	0.0620546078059164
A0210:250415847	14419	0.0448706378794197
A0211:250415848	17896	0.0556907507795336
A0212:250415849	15187	0.0472605851636554
A0213:250415850	15224	0.0473757258531303
A0214:250415851	22227	0.0691684352691491
A0215:250415852	24764	0.0770633522744954
A0216:250415854	18977	0.0590547260585164
A0219:250415855	16059	0.0499741711426313
A0220:250415856	19763	0.0615006877322263
A0221:250415857	14496	0.0451102549899485
A0222:250415858	14979	0.0466133077741749
A0227:250415859	36801	0.114521419280153
A0231:250415860	31277	0.0973312255326035
A0235:250415861	22938	0.071381003653383
A0240:250415862	10940	0.0340443011582531
A0245:250441873	10677	0.0332258686898234
A0251:250415863	23411	0.0728529373323458
A0252:250415864	23877	0.0743030876376242
A0258:250415865	16292	0.0506992462952705
A0263:250415866	19855	0.0617869835006504
A0264:250415867	26461	0.0823442644377089
A0265:250415868	18275	0.0568701648690197
A0266:250441874	16228	0.0505000840215842
A0267:250415869	17924	0.0557778842742713
A0269:250415870	19677	0.0612330634269603
A0273:250415871	12108	0.0376790126530282
A0275:250415872	11477	0.0357153971109023
