er0,er01,er02,er1,er10,er12,er2,er20,er21,k01,k02,k21,k20,fam
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_I06_ID1
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_N07_ID1
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_J04_ID1
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_L12_ID1
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_N04_ID1
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_L08_ID1
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_N58_ID2
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_K55_ID2
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_L56_ID1
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_I55_ID2
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_I11_ID2
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_M05_ID1
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_J50_ID1
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_L14_ID1
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_O08_ID2
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_N57_ID2
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_K60_ID1
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_I50_ID2
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_K02_ID1
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_J13_ID1
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_I52_ID1
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_J48_ID2
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_N14_ID2
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_O59_ID2
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_M15_ID1
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_M59_ID1
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_N07_ID2
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_J07_ID2
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_L48_ID2
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_J14_ID2
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_L12_ID2
0,0,0,NA,NA,NA,0,0,0,0,0,0,0,PC_J51_ID1
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_O51_ID2
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_I08_ID1
0,0,0,0,0,0,0,0,0,0,0,0,0,PC_N10_ID2
