Taxa,Mother,Father
A0003,PC_N14_ID2,PC_N14_ID2
A0004,PC_J48_ID2,PC_J48_ID2
A0008,PC_J13_ID1,PC_K60_ID1
A0013,PC_N10_ID2,PC_N10_ID2
A0014,PC_K60_ID1,PC_K60_ID1
A0015,PC_J10_ID1,PC_M15_ID1
A0017,PC_L56_ID1,PC_N58_ID1
A0020,PC_M59_ID1,PC_L56_ID1
A0021,PC_I08_ID1,PC_I08_ID1
A0022,PC_N07_ID2,PC_O08_ID2
A0024,PC_N07_ID2,PC_N07_ID2
A0027,PC_J50_ID1,PC_L10_ID1
A0028,PC_J13_ID1,PC_N58_ID1
A0030,PC_N58_ID2,PC_N58_ID2
A0031,PC_O59_ID2,PC_O59_ID2
A0034,PC_K02_ID1,PC_L12_ID1
A0035,PC_N10_ID2,PC_J14_ID2
A0036,PC_K55_ID2,PC_O59_ID2
A0038,PC_N04_ID1,PC_I06_ID1
A0039,PC_L12_ID1,PC_J08_ID1
A0042,PC_N03_ID2,PC_I50_ID2
A0044,PC_N10_ID2,PC_O59_ID2
A0045,PC_I08_ID1,PC_I08_ID1
A0048,PC_K54_ID1,PC_J51_ID1
A0049,PC_O59_ID2,PC_O59_ID2
A0051,PC_M05_ID1,PC_M05_ID1
A0052,PC_I55_ID2,PC_I55_ID2
A0060,PC_N10_ID2,PC_N10_ID2
A0061,PC_J12_ID1,PC_L08_ID1
A0064,PC_J48_ID2,PC_I50_ID2
A0066,PC_N13_ID1,PC_L56_ID1
A0072,PC_L08_ID1,PC_N07_ID1
A0073,PC_M05_ID1,PC_M05_ID1
A0078,PC_I58_ID2,PC_I55_ID2
A0081,PC_I50_ID2,PC_N07_ID2
A0082,PC_I58_ID2,PC_I58_ID2
A0084,PC_J12_ID1,PC_M59_ID1
A0085,PC_M15_ID1,PC_I06_ID1
A0086,PC_N10_ID2,PC_N10_ID2
A0089,PC_J50_ID1,PC_J50_ID1
A0090,PC_I52_ID1,PC_I52_ID1
A0091,PC_O59_ID2,PC_O59_ID2
A0092,PC_K54_ID1,PC_N04_ID1
A0094,PC_L08_ID1,PC_L56_ID1
A0095,PC_K02_ID1,PC_K02_ID1
A0100,PC_K55_ID2,PC_K55_ID2
A0101,PC_N03_ID2,PC_I50_ID2
A0102,PC_L48_ID2,PC_L48_ID2
A0103,PC_I11_ID2,PC_K55_ID2
A0107,PC_I52_ID1,PC_I08_ID1
A0112,PC_M59_ID1,PC_L56_ID1
A0113,PC_L14_ID1,PC_M05_ID1
A0114,PC_N57_ID2,PC_N57_ID2
A0115,PC_I11_ID2,PC_K55_ID2
A0116,PC_L48_ID2,PC_L06_ID2
A0118,PC_M05_ID1,PC_M05_ID1
A0119,PC_L14_ID1,PC_N09_ID1
A0121,PC_I52_ID1,PC_M05_ID1
A0123,PC_M59_ID1,PC_M59_ID1
A0126,PC_N57_ID2,PC_L12_ID2
A0127,PC_M58_ID1,PC_N09_ID1
A0128,PC_I55_ID2,PC_I55_ID2
A0129,PC_N58_ID2,PC_N58_ID2
A0131,PC_K54_ID1,PC_K60_ID1
A0132,PC_I58_ID1,PC_I58_ID1
A0134,PC_J13_ID1,PC_L12_ID1
A0135,PC_N11_ID1,PC_K02_ID1
A0137,PC_J07_ID2,PC_N57_ID2
A0139,PC_J12_ID1,PC_L08_ID1
A0140,PC_N13_ID1,PC_L56_ID1
A0142,PC_J50_ID1,PC_M05_ID1
A0143,PC_I11_ID2,PC_O08_ID2
A0144,PC_N10_ID2,PC_N10_ID2
A0146,PC_N04_ID1,PC_N04_ID1
A0148,PC_N14_ID2,PC_I55_ID2
A0149,PC_K60_ID1,PC_K60_ID1
A0150,PC_J50_ID1,PC_J50_ID1
A0151,PC_J13_ID1,PC_J13_ID1
A0152,PC_I55_ID2,PC_I58_ID2
A0154,PC_N07_ID2,PC_O08_ID2
A0156,PC_N10_ID2,PC_N10_ID2
A0171,PC_I55_ID2,PC_I55_ID2
A0172,PC_J04_ID1,PC_N04_ID1
A0173,PC_L06_ID2,PC_I55_ID2
A0176,PC_I58_ID2,PC_N14_ID2
A0178,PC_I58_ID2,PC_I58_ID2
A0179,PC_I50_ID1,PC_I06_ID1
A0180,PC_J04_ID1,PC_J04_ID1
A0182,PC_I11_ID2,PC_K55_ID2
A0183,PC_I58_ID2,PC_N14_ID2
A0184,PC_O08_ID2,PC_J07_ID2
A0186,PC_O08_ID2,PC_I11_ID2
A0189,PC_I58_ID1,PC_L48_ID1
A0190,PC_N14_ID2,PC_N14_ID2
A0191,PC_J07_ID2,PC_J07_ID2
A0193,PC_N07_ID1,PC_N13_ID1
A0194,PC_N04_ID1,PC_J04_ID1
A0195,PC_N13_ID1,PC_N13_ID1
A0196,PC_N48_ID1,PC_N48_ID1
A0197,PC_O08_ID2,PC_O08_ID2
A0198,PC_L08_ID1,PC_L08_ID1
A0199,PC_N07_ID1,PC_N07_ID1
A0201,PC_I52_ID1,PC_J50_ID1
A0204,PC_M58_ID1,PC_N58_ID1
A0205,PC_L12_ID1,PC_I52_ID1
A0206,PC_I58_ID1,PC_N48_ID1
