founder	nselfer	nox	sid	tot
PC_I05_ID1_1:250276198	22	87	PC_I05_ID1	109
PC_I06_ID1_1:250276199	37	283	PC_I06_ID1	320
PC_I08_ID1_1:250276200	39	70	PC_I08_ID1	109
PC_I11_ID2_mrg:250276264	43	126	PC_I11_ID2	169
PC_I50_ID1_1:250276203	12	92	PC_I50_ID1	104
PC_I50_ID2_mrg:250276265	55	101	PC_I50_ID2	156
PC_I52_ID1_1:250276205	43	105	PC_I52_ID1	148
PC_I55_ID2_mrg:250276267	81	94	PC_I55_ID2	175
PC_I58_ID1_1:250276208	24	111	PC_I58_ID1	135
PC_I58_ID2_mrg:250276268	30	105	PC_I58_ID2	135
PC_J04_ID1_1:250276210	39	179	PC_J04_ID1	218
PC_J07_ID2_mrg:250276269	40	92	PC_J07_ID2	132
PC_J10_ID1_2:250276214	3	80	PC_J10_ID1	83
PC_J12_ID1_1:250276215	15	123	PC_J12_ID1	138
PC_J13_ID1_1:250276216	41	108	PC_J13_ID1	149
PC_J14_ID2_mrg:250276270	60	63	PC_J14_ID2	123
PC_J48_ID2_mrg:250276262	46	101	PC_J48_ID2	147
PC_J50_ID1_1:250276220	42	124	PC_J50_ID1	166
PC_J51_ID1_1:250276221	34	85	PC_J51_ID1	119
PC_K02_ID1_1:250276222	40	115	PC_K02_ID1	155
PC_K54_ID1_1:250276223	18	91	PC_K54_ID1	109
PC_K55_ID2_mrg:250276291	47	135	PC_K55_ID2	182
PC_K60_ID1_1:250276225	35	124	PC_K60_ID1	159
PC_L06_ID2_mrg:250276271	24	98	PC_L06_ID2	122
PC_L08_ID1_1:250276227	38	154	PC_L08_ID1	192
PC_L12_ID1_1:250276229	74	126	PC_L12_ID1	200
PC_L12_ID2_mrg:250276272	61	57	PC_L12_ID2	118
PC_L14_ID1_1:250276230	93	69	PC_L14_ID1	162
PC_L48_ID2_mrg:250276273	48	78	PC_L48_ID2	126
PC_L56_ID1_1:250276233	70	112	PC_L56_ID1	182
PC_M05_ID1_1:250276234	37	129	PC_M05_ID1	166
PC_M15_ID1_1:250276235	42	95	PC_M15_ID1	137
PC_M58_ID1_4:250276236	24	100	PC_M58_ID1	124
PC_M59_ID1_1:250276237	36	99	PC_M59_ID1	135
PC_N03_ID2_mrg:250276274	14	107	PC_N03_ID2	121
PC_N04_ID1_1:250276239	42	158	PC_N04_ID1	200
PC_N07_ID1_1:250276240	48	204	PC_N07_ID1	252
PC_N07_ID2_mrg:250276276	38	95	PC_N07_ID2	133
PC_N09_ID1_1:250276242	16	126	PC_N09_ID1	142
PC_N10_ID2_mrg:250276277	45	47	PC_N10_ID2	92
PC_N11_ID1_1:250276245	7	95	PC_N11_ID1	102
PC_N13_ID1_1:250276246	20	195	PC_N13_ID1	215
PC_N14_ID2_mrg:250276278	58	85	PC_N14_ID2	143
PC_N48_ID1_1:250276249	30	52	PC_N48_ID1	82
PC_N57_ID2_mrg:250276279	45	116	PC_N57_ID2	161
PC_N58_ID2_mrg:250276280	46	141	PC_N58_ID2	187
PC_O08_ID2_mrg:250276281	62	97	PC_O08_ID2	159
PC_O51_ID2_mrg:250276282	97	13	PC_O51_ID2	110
PC_O59_ID2_mrg:250276284	60	77	PC_O59_ID2	137
PC_I11_ID1_1:250276201	0	7	PC_I11_ID1	7
PC_I53_ID1_1:250276206	0	4	PC_I53_ID1	4
PC_J01_ID1_1:250276209	0	1	PC_J01_ID1	1
PC_J07_ID1_1:250276211	0	28	PC_J07_ID1	28
PC_J08_ID1_1:250276213	0	45	PC_J08_ID1	45
PC_J14_ID1_1:250276217	0	16	PC_J14_ID1	16
PC_K55_ID1_1:250276224	0	4	PC_K55_ID1	4
PC_L10_ID1_1:250276228	0	6	PC_L10_ID1	6
PC_L48_ID1_1:250276231	0	19	PC_L48_ID1	19
PC_N10_ID1_1:250276243	0	2	PC_N10_ID1	2
PC_N14_ID1_1:250276247	0	1	PC_N14_ID1	1
PC_N56_ID1_1:250276250	0	15	PC_N56_ID1	15
PC_N57_ID1_1:250276251	0	5	PC_N57_ID1	5
PC_N58_ID1_1:250276253	0	32	PC_N58_ID1	32
PC_N60_ID1_1:250276255	0	3	PC_N60_ID1	3
PC_O08_ID1_1:250276256	0	12	PC_O08_ID1	12
PC_O10_ID1_1:250276258	0	15	PC_O10_ID1	15
PC_O51_ID1_1:250276259	0	5	PC_O51_ID1	5
PC_O59_ID1_1:250276261	0	29	PC_O59_ID1	29
